hak,rom,zh,en,unproofread
厓,ngai2,我,I / Me,
你,ngi2,你,You,
佢,gi2,他,He / She,
係,he4,是,To be (is/am/are),
安做,on1 zo4,叫做,Called / Named,
乜介,mak5 gai4,什麼,What,
名,miang2,名字,Name,
貴姓,gui4 siang4,貴姓,Your surname (honorific),
哪人,la4 ngin2,誰,Who,
唔係,m1 he4,不是,Is not,
零,lang2,零,Zero,1
一,yit5,一,One,1
二,ngi4,二,Two,1
三,sam1,三,Three,1
四,si4,四,Four,1
五,ng3,五,Five,1
六,luk5,六,Six,1
七,cit5,七,Seven,1
八,bat5,八,Eight,1
九,giu3,九,Nine,1
十,sip6,十,Ten,1
百,bak5,百,Hundred,1
千,cien1,千,Thousand,1
萬,man4,萬,Ten Thousand,
億,yi4,億,Hundred Million,
吾,nga1,我的,My,
惹,ngia1,你的,Your,
其,gia1,他的,His / Her,
表弟,biau3 ti4,表弟,"Cousin (younger male, mother's side)",
大舅,tai4 kiu1,媽媽的哥哥,Uncle (Mother's oldest brother),
姊妹,zi3 moi4,姊妹,Sisters / Siblings,
咩係,me4 he4,不就是,Isn't it / Is it not,1
阿㜆,a1 mi1,媽媽,Mother,
阿哥,a1 go1,哥哥,Older Brother,1
幾多,git5 do1,幾多,How many / How much,1
兩十二,liong3 sip6 ngi4,二十二,Twenty-two,
左手析,zo3 siu3 sak5,左邊,Left side,1
三隻,sam1 zak5,三個,Three (items),1
歲,soi4,歲,Years old,1
半隻,ban4 zak5,半個/半隻,Half,
吾爸,nga2 ba1,我爸爸,My dad,
吾㜆,nga2 mi1,我媽媽,My mom,
做乜介,zo4 mak5 gai4,爲什麼,Why,
恁,an2,這麼,So / Such,
因爲,yin1 vui4,因爲,Because,
在,coi1,在,At / In,
屋卡,vuk5 ka1,家裏,Home,
長日,cong2 ngit5,經常,Often / Always,
摎,lau1,和/跟,And / With,
囉,lo1,嘛,(Particle indicating obviousness),
還曉,han2 hiau3,還會,Also know (how to),
第一擺,ti4 yit5 bai3,第一次,First time,1
能替,len2 tai4,能幹,Capable / Smart,
裏背,di1 boi4,裏面,Inside,
這裏,ngia3 li1,這裏,Here,
唉裏,ai4 li1,那邊,Over there,
共總,kiung4 zung3,總共,Total,
先生,sin1 sang1,老師,Teacher,
奈埞,lai4 tang4,哪裏,Where (place),
奈裏,lai4 li1,哪裏,Where,
還吂,han2 man2,還沒有,Not yet,
學校,hok6 gau3,學校,School,
附近,fu4 kiun4,附近,Nearby,1
吾兜,nga1 deu1,我們,We / Us,
惹兜,ngia1 deu1,你們,You (plural),
其兜,gia1 deu1,他們,They / Them,
吾兜嘅,nga1 deu1 e4,我們的,Ours,
惹兜嘅,gia1 deu1 e4,你們的,Yours (plural),
其兜嘅,gia1 deu1 e4,他們的,Theirs,
兩公婆,liong3 gung1 po2,兩夫婦,Couple (Husband and Wife),1
擺擺,bai3 bai3,每次,Every time,1
兩十幾,liong3 sip6 gi3,二十幾,Twenty-something,1
鬧熱,lau4 ngiet6,熱鬧,Lively / Bustling,1
真係,zin1 he4,真的是,Really is,1
好食祿,hau3 sit6 luk5,有口福,Have good fortune in eating (Gourmet luck),1
餐館,con1 gon3,真的是,Really is,
聚會,ci4 fui4,有口福,Have good fortune in eating (Gourmet luck),
恁樣,an2 yong4,這樣,Like this / So,
仰邊,ngiong4 bien1,怎樣,How,
轉屋卡,zon3 vuk5 ka1,回家,Go home,
轉去,zon3 hi4,回去,Go back,
黏等,ngiem4 den3,跟着,Then / Following,1
愛,oi4,要,Need / Want,
好像,hau3 ciong4,好像,Seem like,
渾,von2,大概,Approximately / About,
轉到屋,zon3 dau4 vuk5,回到家,Arrive home,1
幾久,git5 giu3,多久,How long,1
小巴,siau3 ba1,小巴,Minibus,1
巴士,ba1 si3,巴士,Bus,1
或者,fet6 za3,或者,Or,1
之後,zu1 heu4,之後,Later,
吾公,nga1 gung1,我的爺爺,My Grandpa (Paternal),
舊相片,kiu4 siong4 pien3,舊照片,Old Photo,
吾伯,nga1 bak5,我的伯伯,My Uncle (Father's elder brother),
吾婆,nga1 po2,我的奶奶,My Grandma (Paternal),
吂曾,man2 cen2,未曾,Not yet,
大姑,tai4 gu1,姑媽,Aunt (Father's elder sister),
出世,cut5 se4,出生,Born,
老妹,lau3 moi4,妹妹,Younger Sister,
老弟,lau3 tai1,弟弟,Younger Brother,
姑仔,gu1 zai3,姑姑,Aunt (Father's younger sister),
吾叔,nga1 suk5,我的叔叔,My Uncle (Father's younger brother),
賴子,lai4 zu1,兒子,Son,
妹子,moi4 zu1,女兒,Daughter,
姐公,zia3 gung1,外祖父,Grandpa (Maternal),
姐婆,zia3 po2,外祖母,Grandma (Maternal),
隻隻,zak5 zak5,每一個,Every one,1
邏,la2,探訪,Visit,
子女,zu3 ng3,子女,Children (Sons and Daughters),
屋卡人,vuk5 ka1 ngin2,家人,Family Members / People at home,
相,siong4,照片,Photo,
心臼,sim1 kiu1,兒媳婦,Daughter-in-law,
婿郎,se4 long2,女婿,Son-in-law,
正,zang4,才,Only then / Just,
還有,han2 yiu1,還有,Also have,1
英國人,yin1 get5 ngin2,英國人,British person,1
孫女,sun1 ňg,孫女,Granddaughter,
孫子,sun1 zu1,孫子,Grandson,
塞子,set5 zu1,曾孫,Great-grandson,
同下,tung2 ha4,一起,Together,
臉前,ngiam4 cien2,前面,In front,
種嗨兜,zung4 hoi1 deu1,種了些,Planted some,
屋背戶,vuk5 boi4 fu1,房子後面,Behind the house,
棟心,dung4 sim1,中心,Center / Middle,
頂高,dang3 gau1,上面,Above / On top,
腳下,giok5 ha4,下面,Below / Under,1
長凳,cong2 den4,長凳,Bench,1
中意,zung4 yi4,喜歡,Like,1
係講,he4 gong3,如果,If,1
跌下來,diet5 ha4 loi2,掉下來,Fall down,1
大來,tai4 loi2,長大後,Grow up,1
